Product Name,New Price,Old Price,Discount (%),Brand,Items Left,Rating,Time Left,URL
"Maybelline Hydrating Lifter Gloss Peach Ring Shade - With Hyaluronic Acid for Hydrated, Fuller, Lifted Lips, 5.4ml","KSh 1,440","KSh 1,800",20%,Maybelline,280 items left,4.7 out of 5,06h : 23m : 40s,https://www.jumia.co.ke/maybelline-hydrating-lifter-gloss-peach-ring-shade-with-hyaluronic-acid-for-hydrated-fuller-lifted-lips-5.4ml-178066905.html
"Open Ear Wireless Headphones - bluetoth Wireless Earbuds, Comfortable Open Ear Design | Sweatproof Sports Headphones, Secure Fit, Ideal for Running, Gym & Outdoor Activities/Black",KSh 513,KSh 945,46%,Easy and safer payments via the JumiaPay App.,34 items left,5 out of 5,06h : 23m : 33s,https://www.jumia.co.ke/generic-open-ear-wireless-headphones-bluetoth-wireless-earbuds-comfortable-open-ear-design-sweatproof-sports-headphones-secure-fit-ideal-for-running-gym-outdoor-activitiesblack-326464124.html
Cartoon Coral Fleece Animal Baby Bath Towels Soft Newborn Hooded Towel Blanket Toddler Bathrobe Warm Sleeping Swaddle Wrap for Boys Girls,KSh 661,"KSh 1,474",55%,Easy and safer payments via the JumiaPay App.,16 items left,1 out of 5,06h : 23m : 25s,https://www.jumia.co.ke/generic-cartoon-coral-fleece-animal-baby-bath-towels-soft-newborn-hooded-towel-blanket-toddler-bathrobe-warm-sleeping-swaddle-wrap-for-boys-girls-326495251.html
Ladies Navy Blue Cotton Tights,KSh 349,KSh 700,50%,Easy and safer payments via the JumiaPay App.,43 items left,3.7 out of 5,06h : 23m : 18s,https://www.jumia.co.ke/fashion-ladies-navy-blue-cotton-tights-315367325.html
"Samsung Galaxy A16, 6.7"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 23,000","KSh 28,000",18%,Samsung,4 items left,0 out of 5,06h : 23m : 10s,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-128gb-4gb-ram-dual-sim-5000mah-black-325579453.html
Vaseline Intensive Care Lotion - Nourishing Argan Oil 400ml,KSh 790,KSh 870,9%,Vaseline,12 items left,4.5 out of 5,06h : 23m : 04s,https://www.jumia.co.ke/vaseline-intensive-care-lotion-nourishing-argan-oil-400ml-326521679.html
"Samsung Galaxy A07 4G, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 12,910","KSh 13,000",1%,Samsung,38 items left,4.6 out of 5,05d : 06h : 22m,https://www.jumia.co.ke/samsung-galaxy-a07-4g-6.7-64gb-4gb-ram-dual-sim-5000mah-black-2yrs-wrty-325675454.html
Comfortable Slim Fit Jeans For Men - 2 Pack,"KSh 2,259 - KSh 2,499","KSh 3,999",44%,Easy and safer payments via the JumiaPay App.,24 items left,2 out of 5,06h : 22m : 50s,https://www.jumia.co.ke/fashion-comfortable-slim-fit-jeans-for-men-2-pack-325717756.html
"Infinix  Hot 60i 4G""6.7-inch, 6GBRAM+128GB ROM' Battery: 5000mAh-Black+ LEDwatch+Cardreader+Powerbank+Cable&Earpods","KSh 14,899","KSh 39,999",63%,Infinix,842 items left,4 out of 5,06h : 22m : 42s,https://www.jumia.co.ke/infinix-hot-60i-4g6.7-inch-6gbram128gb-rom-battery-5000mah-black-ledwatchcardreaderpowerbankcableearpods-319460672.html
Smart Wearable Breast Pump Electric Painless Double-sided Fully Automatic Integrated Hands-free Breast Collector Breastfeeding,"KSh 2,519","KSh 5,907",57%,Easy and safer payments via the JumiaPay App.,18 items left,4.3 out of 5,06h : 22m : 35s,https://www.jumia.co.ke/generic-smart-wearable-breast-pump-electric-painless-double-sided-fully-automatic-integrated-hands-free-breast-collector-breastfeeding-304202776.html
"FLAMEDEAL Series 10 Ultra3 7-in-1 Strap 2.2"" Bluetooth Call Full Touchscreen Smartwatch- For Android and iOS",KSh 669,"KSh 3,028",78%,FLAMEDEAL,19 items left,0 out of 5,06h : 22m : 28s,https://www.jumia.co.ke/flamedeal-series-10-ultra3-7-in-1-strap-2.2-bluetooth-call-full-touchscreen-smartwatch-for-android-and-ios-323023190.html
Amtec AM-314 3.1CH X-BASS Multimedia Home Theater System 12000W PMPO,"KSh 4,050","KSh 6,000",33%,Amtec,5 items left,3.9 out of 5,05d : 06h : 22m,https://www.jumia.co.ke/amtec-am-314-3.1ch-x-bass-multimedia-home-theater-system-12000w-pmpo-317931641.html
"Samsung Galaxy A05, 6.6''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Green","KSh 11,599","KSh 19,999",42%,Samsung,975 items left,5 out of 5,06h : 22m : 13s,https://www.jumia.co.ke/samsung-galaxy-a05-6.6-4gb-ram-64gb-rom-dual-sim-50mp-camera-5000mah-green-175651011.html
"Maybelline Superstay Vinyl Ink Longwear LIquid Lipstick, Smudge-free, Long Lasting up to 16hr, Highly Pigmented Color, Shine Finish - 170 Unafraid (Pink Mash Up Collection)","KSh 2,236","KSh 2,795",20%,Maybelline,27 items left,3.3 out of 5,06h : 22m : 06s,https://www.jumia.co.ke/maybelline-superstay-vinyl-ink-longwear-liquid-lipstick-smudge-free-long-lasting-up-to-16hr-highly-pigmented-color-shine-finish-170-unafraid-pink-mash-up-collection-231106587.html
Mini Remote Control Aircraft Helicopter Rechargeable Toys Induction Hovering Safe Fall-resistant Airplane Children's Gifts,KSh 781,"KSh 1,742",55%,Easy and safer payments via the JumiaPay App.,15 items left,0 out of 5,06h : 21m : 57s,https://www.jumia.co.ke/generic-mini-remote-control-aircraft-helicopter-rechargeable-toys-induction-hovering-safe-fall-resistant-airplane-childrens-gifts-326075638.html
Axe Spray - Wildspice 150ml,KSh 539,KSh 603,11%,Axe,14 items left,0 out of 5,06h : 21m : 50s,https://www.jumia.co.ke/axe-spray-wildspice-150ml-326521587.html
Vaseline Intensive Care Lotion - Even Tone 400ml,KSh 783,KSh 870,10%,Vaseline,14 items left,4 out of 5,06h : 21m : 36s,https://www.jumia.co.ke/vaseline-intensive-care-lotion-even-tone-400ml-326521676.html
Eurochef  EGT55-3G1E-E  Stand Cooker With 3 Gas Burners + 1 Hot plate With Electric Oven 50x55cm,"KSh 18,399","KSh 26,999",32%,Eurochef,17 items left,3.5 out of 5,01w : 01d : 13h,https://www.jumia.co.ke/eurochef-egt55-3g1e-e-stand-cooker-with-3-gas-burners-1-hot-plate-with-electric-oven-50x55cm-299128221.html
"Maybelline Fit Me Matte And Poreless Foundation for Normal to Oily Skin Full Coverage Blendable upto 12H - 344 WARM GOLDEN, 30ml","KSh 1,432","KSh 1,790",20%,Maybelline,20 items left,4.5 out of 5,06h : 21m : 20s,https://www.jumia.co.ke/maybelline-fit-me-matte-and-poreless-foundation-for-normal-to-oily-skin-full-coverage-blendable-upto-12h-344-warm-golden-30ml-30874096.html
UNISEX Cotton Infant Toddler Safety Helmet Head Protector,KSh 599,KSh 999,40%,Easy and safer payments via the JumiaPay App.,12 items left,4.3 out of 5,06h : 21m : 12s,https://www.jumia.co.ke/fashion-unisex-cotton-infant-toddler-safety-helmet-head-protector-167081928.html
Keyrings Packaged Key Holder/ Bottle Opener Gift,KSh 299,KSh 500,40%,Keyrings,8 items left,0 out of 5,06h : 21m : 05s,https://www.jumia.co.ke/packaged-key-holder-bottle-opener-gift-keyrings-mpg10284709.html
0-4-year-old Boy's summer Set Short Sleeved Top+shorts Pants Two-piece Set -Red,KSh 777,"KSh 1,327",41%,Easy and safer payments via the JumiaPay App.,77 items left,0 out of 5,06h : 20m : 58s,https://www.jumia.co.ke/fashion-0-4-year-old-boys-summer-set-short-sleeved-topshorts-pants-two-piece-set-red-325827365.html
"Samsung Galaxy A07, 6.7"", 4GB RAM + 128GB RM (Dual SIM), 5000mAh, Black (2YRs WRTY)","KSh 14,200","KSh 15,000",5%,Samsung,41 items left,4.3 out of 5,05d : 06h : 20m,https://www.jumia.co.ke/galaxy-a07-6.7-4gb-ram-128gb-rm-dual-sim-5000mah-black-2yrs-wrty-samsung-mpg9567273.html
"Poco M6 Pro 4G, 6.67"", 8GB RAM + 256GB ROM, 5000mAh (Dual SIM) - Black (25 Months WRTY)","KSh 17,700","KSh 30,000",41%,Poco,60 items left,4.5 out of 5,05d : 06h : 20m,https://www.jumia.co.ke/poco-m6-pro-4g-6.67-8gb-ram-256gb-rom-5000mah-dual-sim-black-25-months-wrty-327130609.html
"Glamstar GFR-120S - 90L Single Door Fridge, Grey","KSh 13,500","KSh 16,000",16%,Glamstar,147 items left,4.2 out of 5,01w : 01d : 13h,https://www.jumia.co.ke/glamstar-gfr-120s-90l-single-door-fridge-grey-325362636.html
Vitron V635 3.1CH Multimedia Speaker System - Black (1YR WRTY),"KSh 5,169","KSh 6,203",17%,Vitron,8 items left,4 out of 5,05d : 06h : 20m,https://www.jumia.co.ke/vitron-v635-3.1ch-multimedia-speaker-system-black-1yr-wrty-21121968.html
"Amtec 32R1S, 32"" Inch Frameless Android LED Smart TV with Bluetooth (1YR WRTY)","KSh 10,599","KSh 13,451",21%,Amtec,7 items left,3.9 out of 5,05d : 06h : 20m,https://www.jumia.co.ke/amtec-32r1s-32-inch-frameless-android-led-smart-tv-with-bluetooth-1yr-wrty-55149292.html
Amtec AM-315 3.1 Bluetooth Sub-woofer 10000Watts (1YR WRTY),"KSh 4,500","KSh 5,663",21%,Amtec,7 items left,4.1 out of 5,05d : 06h : 20m,https://www.jumia.co.ke/amtec-am-315-3.1-bluetooth-sub-woofer-10000watts-1yr-wrty-55192227.html
"NIVEA MEN Cool Kick Anti-Perspirant Rollon For Men, 48h - 50ml.",KSh 399,KSh 520,23%,NIVEA MEN,21 items left,4.4 out of 5,06h : 20m : 03s,https://www.jumia.co.ke/nivea-men-cool-kick-anti-perspirant-rollon-for-men-48h-50ml.-326706893.html
"DR.DESS Papaya Brightening Face Serum Protects against Acne, Dark Spots, Freckles Reduces Skin Pigmentation and Anti Aging Facial Serum Oil Contro",KSh 299,KSh 699,57%,DR.DESS,17 items left,4.6 out of 5,01w : 01d : 13h,https://www.jumia.co.ke/dr.dess-papaya-brightening-face-serum-protects-against-acne-dark-spots-freckles-reduces-skin-pigmentation-and-anti-aging-facial-serum-oil-contro-327102945.html
"Infinix  Hot 60i 4G""6.7-inch, 6GBRAM+128GB ROM' Battery: 5000mAh - Silver+ LED Watch+powerbank+Earpods+Card Reader - Silver","KSh 14,799","KSh 39,999",63%,Infinix,989 items left,4.4 out of 5,06h : 19m : 49s,https://www.jumia.co.ke/infinix-hot-60i-4g6.7-inch-6gbram128gb-rom-battery-5000mah-silver-led-watchpowerbankearpodscard-reader-silver-319460099.html
"NIVEA Derma Control Defend Anti-Perspirant Spray for Women, 72h – 150ml",KSh 670,KSh 720,7%,NIVEA,16 items left,4 out of 5,06h : 19m : 41s,https://www.jumia.co.ke/nivea-derma-control-defend-anti-perspirant-spray-for-women-72h-150ml-327061097.html
Axe Body Wash – Alaska 400ml,KSh 640,KSh 695,8%,Axe,16 items left,0 out of 5,06h : 19m : 34s,https://www.jumia.co.ke/axe-body-wash-alaska-400ml-326521578.html
"L'Oréal Revitalift Eye Serum, 2.5% Hyaluronic Acid and Caffeine Replumping, Brightening and De-Puffing, for All Skin Tones - 20ml","KSh 2,120","KSh 2,650",20%,L'Oréal,42 items left,4.4 out of 5,06h : 19m : 27s,https://www.jumia.co.ke/loreal-revitalift-eye-serum-2.5-hyaluronic-acid-and-caffeine-replumping-brightening-and-de-puffing-for-all-skin-tones-20ml-194441079.html
"Infinix  Hot 60i 4G"" 6.7-inch, 4GB RAM + 128GB ROM, 50MP Camera, Battery: 5160mAh, 45W Fastcharge - Sleek Black","KSh 13,899","KSh 19,999",31%,Infinix,80 items left,4 out of 5,06h : 19m : 19s,https://www.jumia.co.ke/infinix-hot-60i-4g-6.7-inch-4gb-ram-128gb-rom-50mp-camera-battery-5160mah-45w-fastcharge-sleek-black-325640276.html
"Infinix Smart 10, 6.67"", 4GB RAM + 64GB (Dual SIM), 5000 mAh, 4G, Titanium Silver  (1YR WRTY)","KSh 10,400","KSh 12,000",13%,Infinix,20 items left,4.3 out of 5,06h : 19m : 12s,https://www.jumia.co.ke/infinix-smart-10-6.67-4gb-ram-64gb-dual-sim-5000-mah-4g-titanium-silver-1yr-wrty-325385273.html
AILYONS ELP3601K 3.1CH Subwoofer Home Theatre Multi Media Bluetooth Wooden Speaker System (1YR WRTY),"KSh 3,600","KSh 7,200",50%,AILYONS,71 items left,4.1 out of 5,05d : 06h : 19m,https://www.jumia.co.ke/ailyons-elp3601k-3.1ch-subwoofer-home-theatre-multi-media-bluetooth-wooden-speaker-system-1yr-wrty-326886641.html
Decathlon Kids' Bike Helmet 100 - Black,"KSh 2,450",N/A,N/A,Decathlon,2 items left,0 out of 5,06h : 18m : 57s,https://www.jumia.co.ke/decathlon-kids-bike-helmet-100-black-187879131.html
"Oking OK310, 1.7"" Wireless FM, Bright Torch, 1000mAh, Tri SIM, 2G - Black (1YR WRTY): Remove Sticker On The Battery Terminal Before Use",KSh 755,"KSh 1,200",37%,Oking,13 items left,3.8 out of 5,05d : 06h : 18m,https://www.jumia.co.ke/oking-ok310-1.7-wireless-fm-bright-torch-1000mah-tri-sim-2g-black-1yr-wrty-remove-sticker-on-the-battery-terminal-before-use-306394856.html
"VILLAON V5606, 1.77"", 1000mAh, Feature Phone (Dual SIM) - Black",KSh 855,"KSh 1,000",15%,VILLAON,4 items left,4.2 out of 5,05d : 06h : 18m,https://www.jumia.co.ke/villaon-v5606-1.77-1000mah-feature-phone-dual-sim-black-326370531.html
Kipsta First Kick Size 4 Red,KSh 941,"KSh 1,350",30%,Kipsta,142 items left,4.6 out of 5,06h : 18m : 14s,https://www.jumia.co.ke/kipsta-first-kick-size-4-red-183757130.html
3 pcs quality stretchy cotton girls short bikers - 5 -10yrs,KSh 449,KSh 500,10%,Easy and safer payments via the JumiaPay App.,936 items left,3.4 out of 5,06h : 18m : 07s,https://www.jumia.co.ke/fashion-3-pcs-quality-stretchy-cotton-girls-short-bikers-5-10yrs-303572892.html
"Maybelline Superstay Vinyl Ink Longwear LIquid Lipstick, Smudge-free, Long Lasting up to 16hr, Highly Pigmented Color, Shine Finish - 150 Striking (Pink Mash Up Collection)","KSh 2,236","KSh 2,795",20%,Maybelline,7 items left,3.7 out of 5,06h : 17m : 59s,https://www.jumia.co.ke/maybelline-superstay-vinyl-ink-longwear-liquid-lipstick-smudge-free-long-lasting-up-to-16hr-highly-pigmented-color-shine-finish-150-striking-pink-mash-up-collection-231040743.html
"Samsung Samsung Galaxy A17, 6.7'' HD+ Display, 8GB RAM + 256GB Storage (Dual Sim), 50MP Camera, 5000mAh Battery  - Blue","KSh 24,799","KSh 40,000",38%,Samsung,993 items left,4.3 out of 5,06h : 17m : 52s,https://www.jumia.co.ke/samsung-samsung-galaxy-a17-6.7-hd-display-8gb-ram-256gb-storage-dual-sim-50mp-camera-5000mah-battery-blue-190119242.html
"Infinix Smart 20, 6.78"", 128GB +4GB RAM, 5200mAh (Dual SIM) - Polaris Titanium (1YR WRTY)","KSh 13,199","KSh 15,000",12%,Infinix,20 items left,0 out of 5,06h : 17m : 44s,https://www.jumia.co.ke/infinix-smart-20-6.78-128gb-4gb-ram-5200mah-dual-sim-polaris-titanium-1yr-wrty-327408305.html
NIVEA MEN Active Lip Balm For Men - 4.8g (Pack Of 2).,KSh 599,KSh 790,24%,NIVEA,13 items left,4.5 out of 5,06h : 17m : 35s,https://www.jumia.co.ke/nivea-men-active-lip-balm-for-men-4.8g-pack-of-2.-326706917.html
"Oppo A6X 6.75'' Display, 128GB ROM + 4GB RAM, 6500mAh 50MP Camera (Dual SIM) - Plum Purple (2 Years Warranty) + Led Watch, Earpods & Power bank","KSh 17,699","KSh 19,999",12%,Oppo,990 items left,5 out of 5,06h : 17m : 28s,https://www.jumia.co.ke/oppo-a6x-6.75-display-128gb-rom-4gb-ram-6500mah-50mp-camera-dual-sim-plum-purple-2-years-warranty-led-watch-earpods-power-bank-326644678.html
"DR.DESS Turmeric Face Cream, Anti Oxidation Turmeric Cream For Deep Moisturizing skin Prevents Acnes, Oil Control and Soothing, skin Repair",KSh 499,KSh 750,33%,DR.DESS,24 items left,4.2 out of 5,01w : 01d : 13h,https://www.jumia.co.ke/dr.dess-turmeric-face-cream-anti-oxidation-turmeric-cream-for-deep-moisturizing-skin-prevents-acnes-oil-control-and-soothing-skin-repair-327098908.html
2200W Hair Dryer Blow dry hair dryer Blowdryer Professional Ionic Fast Drying Low Noise Salon Styling at Home,KSh 864,"KSh 1,600",46%,Easy and safer payments via the JumiaPay App.,81 items left,5 out of 5,06h : 17m : 14s,https://www.jumia.co.ke/generic-2200w-hair-dryer-blow-dry-hair-dryer-blowdryer-professional-ionic-fast-drying-low-noise-salon-styling-at-home-326523696.html
"Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)","KSh 16,599","KSh 23,474",29%,Amtec,10 items left,4 out of 5,05d : 06h : 17m,https://www.jumia.co.ke/amtec-43l12-43-fhd-smart-android-frameless-tv-netfix-youtube-bluetooth-black-1yr-wrty-55192249.html
"Catpapa Exclusive Perks for Loyal Customers! 0-3 years old girl's summer short sleeve suit, big strawberry romantic fashion, suitable for party gathering, outing, home comfortable and cool",KSh 810,"KSh 1,755",54%,Catpapa,75 items left,0 out of 5,06h : 17m : 00s,https://www.jumia.co.ke/catpapa-exclusive-perks-for-loyal-customers-0-3-years-old-girls-summer-short-sleeve-suit-big-strawberry-romantic-fashion-suitable-for-party-gathering-outing-home-comfortable-and-cool-325323218.html
NIVEA Rich Nourishing Body Lotion For Women - 400 Ml.,KSh 460,KSh 640,28%,NIVEA,33 items left,4.5 out of 5,06h : 16m : 52s,https://www.jumia.co.ke/nivea-rich-nourishing-body-lotion-for-women-400-ml.-326706904.html
Decathlon Yoga Cork Block,"KSh 2,150",N/A,N/A,Decathlon,28 items left,4 out of 5,06h : 16m : 45s,https://www.jumia.co.ke/decathlon-yoga-cork-block-187879424.html
"Samsung Galaxy A05, 6.7"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 14,000","KSh 16,000",13%,Samsung,20 items left,0 out of 5,06h : 16m : 37s,https://www.jumia.co.ke/samsung-galaxy-a05-6.7-64gb-4gb-ram-dual-sim-5000mah-black-325564503.html
"Tecno POP 10, 6.67'', 64GB +3GB RAM (+3GB Extended) (Dual SIM), 5000MAh - Black (1YR WRTY)","KSh 10,650","KSh 13,000",18%,Tecno,19 items left,3.6 out of 5,06h : 16m : 29s,https://www.jumia.co.ke/tecno-pop-10-6.67-64gb-3gb-ram-3gb-extended-dual-sim-5000mah-black-1yr-wrty-326843445.html
K-Elec Single door 90L Refrigerator Model KR14-SDC-KSC (36Months Warranty) + Free Fridge Guard,"KSh 15,199","KSh 29,999",49%,K-Elec,99 items left,3.2 out of 5,05d : 06h : 16m,https://www.jumia.co.ke/k-elec-single-door-90l-refrigerator-model-kr14-sdc-ksc-36months-warranty-free-fridge-guard-326348970.html
Catpapa Exclusive Perks for Loyal Customers! 1-6Yerars Baby Girls Lace Solid Color Tees,KSh 338,KSh 743,55%,Catpapa,72 items left,4.5 out of 5,06h : 16m : 08s,https://www.jumia.co.ke/catpapa-exclusive-perks-for-loyal-customers-1-6yerars-baby-girls-lace-solid-color-tees-313665075.html
"Samsung Galaxy A26 5G, 6.7'' 8GB RAM + 256GB ROM, 50MP Camera, Dual Sim - Black","KSh 29,999","KSh 39,999",25%,Samsung,978 items left,4.8 out of 5,06h : 16m : 01s,https://www.jumia.co.ke/samsung-galaxy-a26-5g-6.7-8gb-ram-256gb-rom-50mp-camera-dual-sim-black-317655950.html
Passport Holder Cover Wallet RFID Blocking Leather Card Case Travel Accessories for Women Men,KSh 713,"KSh 1,754",59%,Easy and safer payments via the JumiaPay App.,11 items left,5 out of 5,06h : 15m : 53s,https://www.jumia.co.ke/fashion-passport-holder-cover-wallet-rfid-blocking-leather-card-case-travel-accessories-for-women-men-326737020.html
Euroken EURO55-4G+G Full gas  50X55 Free Standing Cooker With Auto-ignition and Gas Oven,"KSh 13,699","KSh 16,499",17%,Euroken,1 item left,1 out of 5,01w : 01d : 13h,https://www.jumia.co.ke/euroken-euro55-4gg-full-gas-50x55-free-standing-cooker-with-auto-ignition-and-gas-oven-326900081.html
"DR.DESS Vitamin C Moisturizing Face Cream With Ingredients like, Vitamin C and glycerin, hydrates, rejuvenates and brighten the skin ,offering a smooth and glowing appearance",KSh 419,KSh 899,53%,DR.DESS,42 items left,4.9 out of 5,01w : 01d : 13h,https://www.jumia.co.ke/dr.dess-vitamin-c-moisturizing-face-cream-with-ingredients-like-vitamin-c-and-glycerin-hydrates-rejuvenates-and-brighten-the-skin-offering-a-smooth-and-glowing-appearance-327099205.html
